map_no,reward,alpha,round,steps,goal_num,goal_rate,entropy,entropy_n
3,2,0.1,4,519,2,0.5,2.248966621395465,0.8521855876936695
3,2,0.1,6,621,3,0.5,2.1186492470699507,0.8028053135847653
3,2,0.1,6,676,3,0.5,1.9251211907908181,0.7294730467532043
3,2,0.1,7,601,5,0.7142857142857143,2.2248634106697636,0.8430523223965434
3,2,0.1,4,478,2,0.5,2.407215735571022,0.912149845536688
3,2,0.1,7,937,3,0.42857142857142855,2.242794790585262,0.8498469379262154
3,2,0.1,7,894,4,0.5714285714285714,2.308116955420165,0.8745990204603321
3,2,0.1,5,501,3,0.6,1.9213363139659512,0.7280388691844213
3,2,0.1,5,500,3,0.6,2.1500602244842355,0.8147076610865772
3,2,0.1,2,187,1,0.5,2.214810368050709,0.8392429915016665
3,2,0.1,2,180,1,0.5,2.1383972463477243,0.8102882883031101
3,2,0.1,6,725,4,0.6666666666666666,2.243213448157556,0.8500055769855475
3,2,0.1,3,290,2,0.6666666666666666,2.104111860090302,0.7972967606569787
3,2,0.1,4,200,4,1.0,1.945910149055313,0.7373504649628064
3,2,0.1,4,526,1,0.25,1.804313535190778,0.6836962255207333
3,2,0.1,6,711,3,0.5,2.2110688711446103,0.8378252515897244
3,2,0.1,4,539,2,0.5,1.9563866396995462,0.7413202501306643
3,2,0.1,1,16,1,1.0,1.8891591637540215,0.7158462010484014
3,2,0.1,5,571,3,0.6,2.0729420985980185,0.7854858154598057
3,2,0.1,4,505,1,0.25,2.099292799933921,0.7954707070497675
3,2,0.1,6,668,3,0.5,2.019842184881483,0.7653650272068743
3,2,0.1,8,821,4,0.5,1.8591130498724284,0.7044610319789695
3,2,0.1,7,934,2,0.2857142857142857,2.171188329276897,0.8227135897776913
3,2,0.1,4,482,3,0.75,2.017363623448251,0.7644258428225799
3,2,0.1,7,887,4,0.5714285714285714,2.2685350920163803,0.859600534842153
3,2,0.1,7,908,2,0.2857142857142857,2.0762758376318757,0.7867490464614388
3,2,0.1,2,192,1,0.5,1.9561874676604512,0.7412447792279067
3,2,0.1,2,82,2,1.0,2.0431918705451206,0.77421276439
3,2,0.1,8,1060,3,0.375,2.181966534674663,0.8267977016599205
3,2,0.1,7,713,6,0.8571428571428571,2.0600799266934855,0.780612040358297
3,2,0.1,6,749,4,0.6666666666666666,1.648742698137812,0.6247468289664545
3,2,0.1,6,588,4,0.6666666666666666,2.180839527058621,0.8263706523482611
3,2,0.1,5,547,3,0.6,1.945910149055313,0.7373504649628064
3,2,0.1,3,174,3,1.0,1.8891591637540217,0.7158462010484015
3,2,0.1,8,1002,3,0.375,2.0262296229952916,0.7677853755798062
3,2,0.1,3,231,3,1.0,2.243618513741878,0.8501590657255519
3,2,0.1,5,581,2,0.4,1.8347505070928416,0.6952294997548709
3,2,0.1,4,505,2,0.5,2.145401978181776,0.8129425435765539
3,2,0.1,5,604,2,0.4,2.3180711122468587,0.8783708812361437
3,2,0.1,1,29,1,1.0,2.2459520807289133,0.8510433083529659
3,2,0.1,3,230,2,0.6666666666666666,1.9722469794234414,0.7473301005215262
3,2,0.1,1,19,1,1.0,1.9061547465398496,0.7222862213522824
